"자치구별(1)","항목","시점","경제활동별(1)",데이터
"종로구","2020년 기준년 연쇄가격","2019","지역내총생산(시장가격)",32541781
"종로구","2020년 기준년 연쇄가격","2019","순생산물세",3504449
"종로구","2020년 기준년 연쇄가격","2019","총부가가치(기초가격)",28969815
"종로구","2020년 기준년 연쇄가격","2019","농업, 임업 및 어업",6820
"종로구","2020년 기준년 연쇄가격","2019","광업",1103
"종로구","2020년 기준년 연쇄가격","2019","제조업",816385
"종로구","2020년 기준년 연쇄가격","2019","전기, 가스, 증기 및 공기 조절 공급업",69834
"종로구","2020년 기준년 연쇄가격","2019","건설업",410772
"종로구","2020년 기준년 연쇄가격","2019","도매 및 소매업",2733347
"종로구","2020년 기준년 연쇄가격","2019","운수 및 창고업",768565
"종로구","2020년 기준년 연쇄가격","2019","숙박 및 음식점업",649161
"종로구","2020년 기준년 연쇄가격","2019","정보통신업",3109698
"종로구","2020년 기준년 연쇄가격","2019","금융 및 보험업",6584847
"종로구","2020년 기준년 연쇄가격","2019","부동산업",1783408
"종로구","2020년 기준년 연쇄가격","2019","사업서비스업",4082926
"종로구","2020년 기준년 연쇄가격","2019","공공 행정, 국방 및 사회보장 행정",4922691
"종로구","2020년 기준년 연쇄가격","2019","교육 서비스업",739813
"종로구","2020년 기준년 연쇄가격","2019","보건업 및 사회복지서비스업",1424693
"종로구","2020년 기준년 연쇄가격","2019","문화 및 기타 서비스업",841926
"종로구","2020년 기준년 연쇄가격","2020","지역내총생산(시장가격)",31086396
"종로구","2020년 기준년 연쇄가격","2020","순생산물세",4050281
"종로구","2020년 기준년 연쇄가격","2020","총부가가치(기초가격)",27023741
"종로구","2020년 기준년 연쇄가격","2020","농업, 임업 및 어업",8068
"종로구","2020년 기준년 연쇄가격","2020","광업",2745
"종로구","2020년 기준년 연쇄가격","2020","제조업",656729
"종로구","2020년 기준년 연쇄가격","2020","전기, 가스, 증기 및 공기 조절 공급업",72888
"종로구","2020년 기준년 연쇄가격","2020","건설업",388088
"종로구","2020년 기준년 연쇄가격","2020","도매 및 소매업",2323420
"종로구","2020년 기준년 연쇄가격","2020","운수 및 창고업",670688
"종로구","2020년 기준년 연쇄가격","2020","숙박 및 음식점업",497018
"종로구","2020년 기준년 연쇄가격","2020","정보통신업",3004126
"종로구","2020년 기준년 연쇄가격","2020","금융 및 보험업",6929745
"종로구","2020년 기준년 연쇄가격","2020","부동산업",1065723
"종로구","2020년 기준년 연쇄가격","2020","사업서비스업",3756154
"종로구","2020년 기준년 연쇄가격","2020","공공 행정, 국방 및 사회보장 행정",4801219
"종로구","2020년 기준년 연쇄가격","2020","교육 서비스업",757200
"종로구","2020년 기준년 연쇄가격","2020","보건업 및 사회복지서비스업",1450106
"종로구","2020년 기준년 연쇄가격","2020","문화 및 기타 서비스업",639825
"종로구","2020년 기준년 연쇄가격","2021","지역내총생산(시장가격)",31614190
