STD_YEAR,STD_QT,DIST_CODE,AGE_ORD,AGE_GRP,POP_CNT
2014,1,11290,7,30~34세,41456
2014,1,11290,8,35~39세,38811
2014,1,11290,9,40~44세,45300
2014,1,11290,10,45~49세,38337
2014,1,11290,11,50~54세,38801
2014,1,11290,12,55~59세,34948
2014,1,11290,13,60~64세,24792
2014,1,11290,14,65~69세,21115
2014,1,11290,15,70~74세,18264
2014,1,11290,16,75~79세,11603
2014,1,11290,17,80~84세,5746
2014,1,11290,18,85~89세,2699
2014,1,11290,19,90~94세,1070
2014,1,11290,20,95~99세,310
2014,1,11290,21,100세 이상,251
2014,1,11305,1,0~4세,12471
2014,1,11305,2,5~9세,11857
2014,1,11305,3,10~14세,14522
2014,1,11305,4,15~19세,19191
2014,1,11305,5,20~24세,21992
2014,1,11305,6,25~29세,22460
2014,1,11305,7,30~34세,28792
2014,1,11305,8,35~39세,26247
2014,1,11305,9,40~44세,30369
2014,1,11305,10,45~49세,27795
2014,1,11305,11,50~54세,28957
2014,1,11305,12,55~59세,26785
2014,1,11305,13,60~64세,19807
2014,1,11305,14,65~69세,17692
2014,1,11305,15,70~74세,15177
2014,1,11305,16,75~79세,8989
2014,1,11305,17,80~84세,4251
2014,1,11305,18,85~89세,1908
2014,1,11305,19,90~94세,758
2014,1,11305,20,95~99세,200
2014,1,11305,21,100세 이상,198
2014,1,11320,1,0~4세,13302
2014,1,11320,2,5~9세,13620
2014,1,11320,3,10~14세,17401
2014,1,11320,4,15~19세,22932
2014,1,11320,5,20~24세,25274
2014,1,11320,6,25~29세,24164
2014,1,11320,7,30~34세,28597
2014,1,11320,8,35~39세,25505
2014,1,11320,9,40~44세,31486
2014,1,11320,10,45~49세,30466
2014,1,11320,11,50~54세,32724
2014,1,11320,12,55~59세,29734
2014,1,11320,13,60~64세,19459
2014,1,11320,14,65~69세,15445
2014,1,11320,15,70~74세,13294
2014,1,11320,16,75~79세,8475
2014,1,11320,17,80~84세,4572
2014,1,11320,18,85~89세,2190
2014,1,11320,19,90~94세,813
2014,1,11320,20,95~99세,167
2014,1,11320,21,100세 이상,111
2014,1,11350,1,0~4세,22905
2014,1,11350,2,5~9세,25121
2014,1,11350,3,10~14세,35059
2014,1,11350,4,15~19세,43842
2014,1,11350,5,20~24세,43092
2014,1,11350,6,25~29세,36633
2014,1,11350,7,30~34세,45913
2014,1,11350,8,35~39세,44040
2014,1,11350,9,40~44세,56168
2014,1,11350,10,45~49세,52970
2014,1,11350,11,50~54세,50762
2014,1,11350,12,55~59세,42709
2014,1,11350,13,60~64세,27818
2014,1,11350,14,65~69세,21243
2014,1,11350,15,70~74세,18292
2014,1,11350,16,75~79세,12556
2014,1,11350,17,80~84세,7253
2014,1,11350,18,85~89세,3407
2014,1,11350,19,90~94세,1320
2014,1,11350,20,95~99세,308
2014,1,11350,21,100세 이상,185
2014,1,11380,1,0~4세,20932
2014,1,11380,2,5~9세,20480
2014,1,11380,3,10~14세,24234
2014,1,11380,4,15~19세,29878
2014,1,11380,5,20~24세,32573
2014,1,11380,6,25~29세,33494
2014,1,11380,7,30~34세,44901
2014,1,11380,8,35~39세,41171
2014,1,11380,9,40~44세,46699
2014,1,11380,10,45~49세,40587
2014,1,11380,11,50~54세,41765
2014,1,11380,12,55~59세,37930
2014,1,11380,13,60~64세,26836
2014,1,11380,14,65~69세,22867
2014,1,11380,15,70~74세,19464
2014,1,11380,16,75~79세,12177
2014,1,11380,17,80~84세,6070
2014,1,11380,18,85~89세,2795
