날짜,시군구지역코드,발생건수(건)
2014-01-01,11110,53
2014-01-01,11140,55
2014-01-01,11170,120
2014-01-01,11200,192
2014-01-01,11215,165
2014-01-01,11230,156
2014-01-01,11260,211
2014-01-01,11290,174
2014-01-01,11305,185
2014-01-01,11320,204
2014-01-01,11350,512
2014-01-01,11380,319
2014-01-01,11410,187
2014-01-01,11440,241
2014-01-01,11470,340
2014-01-01,11500,552
2014-01-01,11530,360
2014-01-01,11545,150
2014-01-01,11560,190
2014-01-01,11590,224
2014-01-01,11620,289
2014-01-01,11650,295
2014-01-01,11680,205
2014-01-01,11710,316
2014-01-01,11740,297
2014-01-02,11110,1408
2014-01-02,11140,1219
2014-01-02,11170,2377
2014-01-02,11200,3026
2014-01-02,11215,3663
2014-01-02,11230,3621
2014-01-02,11260,4388
2014-01-02,11290,4613
2014-01-02,11305,3086
2014-01-02,11320,3334
2014-01-02,11350,5792
2014-01-02,11380,5246
2014-01-02,11410,2984
2014-01-02,11440,3844
2014-01-02,11470,5031
2014-01-02,11500,6015
2014-01-02,11530,4800
2014-01-02,11545,2336
2014-01-02,11560,3997
2014-01-02,11590,4257
2014-01-02,11620,5124
2014-01-02,11650,4338
2014-01-02,11680,4916
2014-01-02,11710,6941
2014-01-02,11740,4953
2014-01-03,11110,1129
2014-01-03,11140,1028
2014-01-03,11170,1860
2014-01-03,11200,2646
2014-01-03,11215,2971
2014-01-03,11230,3011
2014-01-03,11260,3475
2014-01-03,11290,3940
2014-01-03,11305,2517
2014-01-03,11320,2793
2014-01-03,11350,4856
2014-01-03,11380,4371
2014-01-03,11410,2551
2014-01-03,11440,3294
2014-01-03,11470,4007
2014-01-03,11500,5079
2014-01-03,11530,3919
2014-01-03,11545,1855
2014-01-03,11560,3257
2014-01-03,11590,3492
2014-01-03,11620,4257
2014-01-03,11650,3588
2014-01-03,11680,4471
2014-01-03,11710,5657
2014-01-03,11740,4186
2014-01-04,11110,890
2014-01-04,11140,901
2014-01-04,11170,1616
2014-01-04,11200,2396
2014-01-04,11215,2820
2014-01-04,11230,2566
2014-01-04,11260,3126
2014-01-04,11290,3477
2014-01-04,11305,2191
2014-01-04,11320,2399
2014-01-04,11350,4279
2014-01-04,11380,3762
2014-01-04,11410,2324
2014-01-04,11440,2983
2014-01-04,11470,3817
2014-01-04,11500,4824
2014-01-04,11530,3576
2014-01-04,11545,1606
2014-01-04,11560,2983
2014-01-04,11590,3207
2014-01-04,11620,3696
2014-01-04,11650,3086
2014-01-04,11680,3659
2014-01-04,11710,5076
2014-01-04,11740,3639
2014-01-05,11110,134
2014-01-05,11140,52
2014-01-05,11170,152
2014-01-05,11200,257
2014-01-05,11215,236
2014-01-05,11230,294
2014-01-05,11260,411
2014-01-05,11290,318
2014-01-05,11305,280
2014-01-05,11320,279
2014-01-05,11350,591
2014-01-05,11380,314
2014-01-05,11410,171
2014-01-05,11440,309
2014-01-05,11470,322
2014-01-05,11500,613
2014-01-05,11530,420
2014-01-05,11545,185
2014-01-05,11560,280
2014-01-05,11590,285
2014-01-05,11620,316
2014-01-05,11650,365
2014-01-05,11680,310
2014-01-05,11710,477
2014-01-05,11740,324
2014-01-06,11110,1489
2014-01-06,11140,1356
2014-01-06,11170,2322
2014-01-06,11200,3358
2014-01-06,11215,4015
2014-01-06,11230,3942
2014-01-06,11260,4446
2014-01-06,11290,5072
2014-01-06,11305,3370
2014-01-06,11320,3522
2014-01-06,11350,6237
2014-01-06,11380,5890
2014-01-06,11410,3260
2014-01-06,11440,4129
2014-01-06,11470,5062
2014-01-06,11500,6602
2014-01-06,11530,5195
2014-01-06,11545,2443
2014-01-06,11560,4155
2014-01-06,11590,4631
2014-01-06,11620,5599
2014-01-06,11650,4392
2014-01-06,11680,5442
2014-01-06,11710,7233
2014-01-06,11740,5342
2014-01-07,11110,1025
2014-01-07,11140,1016
2014-01-07,11170,1673
2014-01-07,11200,2382
2014-01-07,11215,2674
2014-01-07,11230,2818
2014-01-07,11260,3085
2014-01-07,11290,3560
2014-01-07,11305,2326
2014-01-07,11320,2543
2014-01-07,11350,4260
2014-01-07,11380,3937
2014-01-07,11410,2271
2014-01-07,11440,2852
2014-01-07,11470,3723
2014-01-07,11500,4522
2014-01-07,11530,3528
2014-01-07,11545,1727
2014-01-07,11560,2842
2014-01-07,11590,3201
2014-01-07,11620,3739
2014-01-07,11650,3175
2014-01-07,11680,3825
2014-01-07,11710,4912
2014-01-07,11740,3688
2014-01-08,11110,1038
2014-01-08,11140,928
2014-01-08,11170,1521
2014-01-08,11200,2307
2014-01-08,11215,2739
2014-01-08,11230,2596
2014-01-08,11260,3029
2014-01-08,11290,3307
2014-01-08,11305,2208
2014-01-08,11320,2264
2014-01-08,11350,4255
2014-01-08,11380,3733
2014-01-08,11410,2201
2014-01-08,11440,2935
2014-01-08,11470,3567
2014-01-08,11500,4546
2014-01-08,11530,3423
2014-01-08,11545,1724
2014-01-08,11560,2838
2014-01-08,11590,3079
2014-01-08,11620,3578
2014-01-08,11650,3057
2014-01-08,11680,3640
2014-01-08,11710,4812
2014-01-08,11740,3555
2014-01-09,11110,1003
2014-01-09,11140,867
2014-01-09,11170,1585
2014-01-09,11200,2113
2014-01-09,11215,2576
2014-01-09,11230,2441
2014-01-09,11260,2960
2014-01-09,11290,3323
2014-01-09,11305,2065
2014-01-09,11320,2429
2014-01-09,11350,3855
2014-01-09,11380,3513
2014-01-09,11410,1995
2014-01-09,11440,2584
2014-01-09,11470,3286
2014-01-09,11500,4018
2014-01-09,11530,3349
2014-01-09,11545,1677
2014-01-09,11560,2540
2014-01-09,11590,2927
2014-01-09,11620,3475
2014-01-09,11650,2828
2014-01-09,11680,3416
2014-01-09,11710,4707
2014-01-09,11740,3371
2014-01-10,11110,1112
2014-01-10,11140,1053
2014-01-10,11170,1746
2014-01-10,11200,2467
2014-01-10,11215,2953
2014-01-10,11230,2893
2014-01-10,11260,3310
2014-01-10,11290,3611
2014-01-10,11305,2420
2014-01-10,11320,2500
2014-01-10,11350,4527
2014-01-10,11380,4155
2014-01-10,11410,2410
2014-01-10,11440,3095
2014-01-10,11470,3697
2014-01-10,11500,4764
2014-01-10,11530,3807
2014-01-10,11545,1824
2014-01-10,11560,3097
2014-01-10,11590,3471
2014-01-10,11620,3949
2014-01-10,11650,3466
2014-01-10,11680,3935
2014-01-10,11710,5228
2014-01-10,11740,3828
2014-01-11,11110,927
2014-01-11,11140,859
2014-01-11,11170,1509
2014-01-11,11200,2222
2014-01-11,11215,2740
2014-01-11,11230,2467
2014-01-11,11260,3071
2014-01-11,11290,3311
2014-01-11,11305,2278
2014-01-11,11320,2495
2014-01-11,11350,4057
2014-01-11,11380,3850
2014-01-11,11410,2202
2014-01-11,11440,2766
2014-01-11,11470,3523
2014-01-11,11500,4679
2014-01-11,11530,3589
2014-01-11,11545,1643
2014-01-11,11560,2801
2014-01-11,11590,3130
2014-01-11,11620,3671
2014-01-11,11650,2872
2014-01-11,11680,3611
2014-01-11,11710,4812
2014-01-11,11740,3497
2014-01-12,11110,122
2014-01-12,11140,67
2014-01-12,11170,151
2014-01-12,11200,189
2014-01-12,11215,232
2014-01-12,11230,296
2014-01-12,11260,353
2014-01-12,11290,293
2014-01-12,11305,208
2014-01-12,11320,279
2014-01-12,11350,451
2014-01-12,11380,383
2014-01-12,11410,211
2014-01-12,11440,322
2014-01-12,11470,352
2014-01-12,11500,497
2014-01-12,11530,407
2014-01-12,11545,173
2014-01-12,11560,263
2014-01-12,11590,309
2014-01-12,11620,308
2014-01-12,11650,357
2014-01-12,11680,322
2014-01-12,11710,546
2014-01-12,11740,272
2014-01-13,11110,1490
2014-01-13,11140,1346
2014-01-13,11170,2297
2014-01-13,11200,3333
2014-01-13,11215,4041
2014-01-13,11230,3946
2014-01-13,11260,4462
2014-01-13,11290,4918
2014-01-13,11305,3381
2014-01-13,11320,3622
2014-01-13,11350,6533
2014-01-13,11380,5725
2014-01-13,11410,3174
2014-01-13,11440,4143
2014-01-13,11470,5142
2014-01-13,11500,6337
2014-01-13,11530,5187
2014-01-13,11545,2404
2014-01-13,11560,4208
2014-01-13,11590,4571
2014-01-13,11620,5451
2014-01-13,11650,4520
2014-01-13,11680,5315
2014-01-13,11710,7313
2014-01-13,11740,5064
2014-01-14,11110,1035
2014-01-14,11140,1004
2014-01-14,11170,1627
2014-01-14,11200,2329
2014-01-14,11215,2773
2014-01-14,11230,2864
2014-01-14,11260,3220
2014-01-14,11290,3594
2014-01-14,11305,2329
2014-01-14,11320,2513
2014-01-14,11350,4278
2014-01-14,11380,4062
2014-01-14,11410,2307
2014-01-14,11440,2935
2014-01-14,11470,3526
2014-01-14,11500,4491
2014-01-14,11530,3563
2014-01-14,11545,1781
