날짜,시군구지역코드,발생건수(건)
2024-03-01,11110,161
2024-03-01,11140,175
2024-03-01,11170,255
2024-03-01,11200,427
2024-03-01,11215,415
2024-03-01,11230,450
2024-03-01,11260,539
2024-03-01,11290,770
2024-03-01,11305,442
2024-03-01,11320,417
2024-03-01,11350,834
2024-03-01,11380,842
2024-03-01,11410,429
2024-03-01,11440,549
2024-03-01,11470,788
2024-03-01,11500,1035
2024-03-01,11530,739
2024-03-01,11545,247
2024-03-01,11560,625
2024-03-01,11590,547
2024-03-01,11620,579
2024-03-01,11650,796
2024-03-01,11680,1129
2024-03-01,11710,1177
2024-03-01,11740,776
2024-03-02,11110,791
2024-03-02,11140,956
2024-03-02,11170,1422
2024-03-02,11200,2262
2024-03-02,11215,2682
2024-03-02,11230,2641
2024-03-02,11260,3314
2024-03-02,11290,3400
2024-03-02,11305,2199
2024-03-02,11320,2369
2024-03-02,11350,4348
2024-03-02,11380,3749
2024-03-02,11410,2472
2024-03-02,11440,3039
2024-03-02,11470,3661
2024-03-02,11500,4875
2024-03-02,11530,3737
2024-03-02,11545,1968
2024-03-02,11560,3341
2024-03-02,11590,3046
2024-03-02,11620,3530
2024-03-02,11650,3087
2024-03-02,11680,4229
2024-03-02,11710,5841
2024-03-02,11740,4302
2024-03-03,11110,100
2024-03-03,11140,126
2024-03-03,11170,182
2024-03-03,11200,297
2024-03-03,11215,337
2024-03-03,11230,550
2024-03-03,11260,513
2024-03-03,11290,540
2024-03-03,11305,395
2024-03-03,11320,357
2024-03-03,11350,731
2024-03-03,11380,570
2024-03-03,11410,323
2024-03-03,11440,508
2024-03-03,11470,691
2024-03-03,11500,802
2024-03-03,11530,518
2024-03-03,11545,222
2024-03-03,11560,518
2024-03-03,11590,401
2024-03-03,11620,406
2024-03-03,11650,649
2024-03-03,11680,1105
2024-03-03,11710,988
2024-03-03,11740,629
2024-03-04,11110,1411
2024-03-04,11140,1531
2024-03-04,11170,2163
2024-03-04,11200,3537
2024-03-04,11215,4075
2024-03-04,11230,4064
2024-03-04,11260,4883
2024-03-04,11290,5245
2024-03-04,11305,3285
2024-03-04,11320,3539
2024-03-04,11350,6260
2024-03-04,11380,5500
2024-03-04,11410,3617
2024-03-04,11440,4493
2024-03-04,11470,4995
2024-03-04,11500,6917
2024-03-04,11530,5290
2024-03-04,11545,2880
2024-03-04,11560,4953
2024-03-04,11590,4412
2024-03-04,11620,5678
2024-03-04,11650,4454
2024-03-04,11680,5976
2024-03-04,11710,8229
2024-03-04,11740,5963
