,asthma_cnt_d0,asthma_cnt_d_plus_1,asthma_cnt_d_plus_2,asthma_cnt_d_plus_3,dist_name
pm25_avg_d0,0.10941695910379161,0.07893916765874832,0.10735503891411884,0.12499180935900688,SEOUL_TOTAL
pm25_max_d0,0.12054481787906993,0.07915163118124295,0.11900999579404978,0.13618237071774997,SEOUL_TOTAL
pm25_streak_d0,0.03857758058985001,0.011268685416442922,0.05029209251308059,0.05737187583221548,SEOUL_TOTAL
pm25_ma_72h,0.11560321566933889,0.12264194874047561,0.1365951496058723,0.13475235846617728,SEOUL_TOTAL
pm10_avg_d0,0.15455366854595892,0.11014809617552329,0.14374495148605587,0.15049008919652493,SEOUL_TOTAL
pm10_streak_d0,0.03609580417215152,0.02918381943133496,0.05861652106300982,0.07578189919645924,SEOUL_TOTAL
pm10_ma_72h,0.16648462872635608,0.16598075354565334,0.1785448573118657,0.17085807779220413,SEOUL_TOTAL
temp_avg_d0,-0.20244649340061047,-0.20486969288549345,-0.19932171615676264,-0.19948399913453924,SEOUL_TOTAL
temp_diff_d0,0.09984654130004077,0.08212688121971354,0.08816471703109478,0.08490881607739627,SEOUL_TOTAL
temp_min_d0,-0.21738878610915247,-0.21667794288577255,-0.2119471649207728,-0.21132723844760704,SEOUL_TOTAL
is_holiday,-0.4442019292748667,-0.12969615158615602,0.25689785313731944,0.08025489547532397,SEOUL_TOTAL
std_month,-0.021562634509085136,-0.03032649864538818,-0.02297349741137816,-0.02056929777659279,SEOUL_TOTAL
asthma_prev_d1,0.38812399087968696,0.4383320163210923,0.4904768045101618,0.48979735010066644,SEOUL_TOTAL
asthma_prev_d2,0.43768426633067037,0.49083472413466334,0.4899447482524751,0.4267096692452858,SEOUL_TOTAL
asthma_prev_d3,0.48946450751605924,0.4907676409241685,0.4268624653282192,0.3910443586261874,SEOUL_TOTAL
pm25_avg_d0,0.11840685620947282,0.07475283363080937,0.11038264972613586,0.13541745851112888,DIST_11110
pm25_max_d0,0.133862783435586,0.06854616938362389,0.11528661581375542,0.14428921998409616,DIST_11110
pm25_streak_d0,0.0316396565930913,0.025770051829129066,0.0970603755479646,0.07673276683669594,DIST_11110
pm25_ma_72h,0.11931042161617189,0.12738227413782666,0.14599277778434702,0.14475959888073772,DIST_11110
pm10_avg_d0,0.1473809133176055,0.10338631054837343,0.14029147243197213,0.1524043908393268,DIST_11110
pm10_streak_d0,0.022989756255192152,0.04782305005848698,0.0812798715655668,0.06722173826863008,DIST_11110
pm10_ma_72h,0.161562212526139,0.1652780005375289,0.17828594079891896,0.16566978232396778,DIST_11110
temp_avg_d0,-0.19647307236646722,-0.1979911543239295,-0.19138786402753089,-0.1919992280884083,DIST_11110
temp_diff_d0,0.053024441325412536,0.028678579292183575,0.03235902672242078,0.030808041546336287,DIST_11110
temp_min_d0,-0.20262173734713873,-0.19969659965272224,-0.19346920108504603,-0.1934332134096013,DIST_11110
is_holiday,-0.5966773304671312,-0.15424482459999317,0.34615727588446676,0.13261844882648657,DIST_11110
std_month,-0.04500137838544367,-0.056133485687408294,-0.04828898394979162,-0.04440698633757267,DIST_11110
asthma_prev_d1,0.17022401551428132,0.14158775606621593,0.22726004460636512,0.2309186941350748,DIST_11110
asthma_prev_d2,0.14092008177807785,0.2277332757656853,0.23115504585392133,0.12024575993800524,DIST_11110
asthma_prev_d3,0.22639454858562125,0.23232947505216933,0.12071846564244819,0.1738603288070607,DIST_11110
pm25_avg_d0,0.11431708447904766,0.07780638629373735,0.11782310711258082,0.1376645826179344,DIST_11140
pm25_max_d0,0.11088146815949612,0.05943873815038519,0.10813995718980052,0.13626266325715616,DIST_11140
pm25_streak_d0,0.024889580611753614,0.006053083664332194,0.07865394422426576,0.06170356478989939,DIST_11140
pm25_ma_72h,0.12273205992480149,0.132996926915966,0.14981192194224038,0.1436132007549958,DIST_11140
pm10_avg_d0,0.13378763422773723,0.07987253136073781,0.12665968962594523,0.13487119638498063,DIST_11140
pm10_streak_d0,0.007716514522475822,0.009881892772469049,0.04703858053002283,0.040020592446664255,DIST_11140
pm10_ma_72h,0.13986621203175265,0.14177483503998545,0.15695916694844494,0.1450283441235533,DIST_11140
temp_avg_d0,-0.24677490863201976,-0.24681886148792784,-0.2373973893061906,-0.23762650715319933,DIST_11140
temp_diff_d0,0.0028770547071352726,-0.014570711197714506,-0.0017548274998136545,-0.0019353378854150922,DIST_11140
temp_min_d0,-0.2498195275560414,-0.24711001045956912,-0.23919147736586646,-0.23951201342377235,DIST_11140
is_holiday,-0.553204792779178,-0.13306787793907482,0.3396220708037295,0.095326314446867,DIST_11140
std_month,-0.04576113347032297,-0.055595170216665296,-0.04899620002517647,-0.046116474808315794,DIST_11140
asthma_prev_d1,0.1830118951089106,0.20662446216252844,0.3218036261010091,0.3228741127737341,DIST_11140
asthma_prev_d2,0.20546560231793484,0.32298832668692173,0.3232087891160025,0.19042785222733094,DIST_11140
asthma_prev_d3,0.32171240985896,0.3245771047432777,0.19089965702667416,0.1853239223877297,DIST_11140
pm25_avg_d0,0.1501267131572814,0.12085124881185881,0.15463955292693407,0.17455671894584585,DIST_11170
pm25_max_d0,0.1524753168977501,0.1031094131061127,0.151785497886563,0.17389973947040513,DIST_11170
pm25_streak_d0,0.04784273301925173,0.025192408585507305,0.07444802089700205,0.07911505680585385,DIST_11170
pm25_ma_72h,0.16625481461859654,0.1767471874729349,0.19281098971907604,0.18992029806683974,DIST_11170
pm10_avg_d0,0.11081441071875009,0.06788315269286317,0.10841745924415258,0.11591385290499373,DIST_11170
pm10_streak_d0,0.0034155476363423266,-0.007122602944407227,0.03987982807031379,0.023629536753587758,DIST_11170
pm10_ma_72h,0.11841438145934022,0.12186695155108623,0.13768676054829268,0.12868885117746834,DIST_11170
temp_avg_d0,-0.1888102886941941,-0.19087765290475978,-0.18472338754401724,-0.1837589634522797,DIST_11170
temp_diff_d0,-0.00908466501843313,-0.03156226857554889,-0.0181170064408567,-0.028453718997997125,DIST_11170
temp_min_d0,-0.1907753284367434,-0.18865504504439576,-0.18481056337880503,-0.18247163348495746,DIST_11170
is_holiday,-0.5520161050985859,-0.14349408693683266,0.32619164867645706,0.09772867414697081,DIST_11170
std_month,-0.02443161004242656,-0.03411695683553248,-0.0281099652771417,-0.02525459162756892,DIST_11170
asthma_prev_d1,0.22128593575380984,0.23766613043679058,0.3330457556099062,0.33714412906503516,DIST_11170
asthma_prev_d2,0.2369014741200631,0.3333307725421044,0.3372382038337565,0.22090498706158154,DIST_11170
asthma_prev_d3,0.3320257251178166,0.3378512971586945,0.22107660642581003,0.224845854748975,DIST_11170
pm25_avg_d0,0.1497919795324451,0.11455405507654261,0.14739045905034334,0.16866131083585606,DIST_11200
pm25_max_d0,0.17338975303042836,0.13117555043226128,0.17728801830940588,0.19473923255643913,DIST_11200
pm25_streak_d0,0.07744790330566749,0.03791922185342489,0.07866274112250239,0.11467285512072403,DIST_11200
pm25_ma_72h,0.15923139261512667,0.16757574344589515,0.18526503590045643,0.18361149541459434,DIST_11200
pm10_avg_d0,0.2026720493492682,0.1543793529406413,0.20185683334966448,0.2093766170242514,DIST_11200
pm10_streak_d0,0.04363977895729337,0.06582007747603816,0.08409185729430593,0.1189579843222109,DIST_11200
pm10_ma_72h,0.22445419788593376,0.22848549404559682,0.24619741846760645,0.23714352540227138,DIST_11200
temp_avg_d0,-0.23768276727759724,-0.24132178279512606,-0.23417717044620007,-0.2338125280152657,DIST_11200
temp_diff_d0,0.06525050150181766,0.04859532603540585,0.0580353361601781,0.0512116369702491,DIST_11200
temp_min_d0,-0.24497791925761492,-0.24600164404857847,-0.2399171834098228,-0.2384072715523345,DIST_11200
is_holiday,-0.493708545221017,-0.13140229690580985,0.30311628327679285,0.07416587167916532,DIST_11200
std_month,0.007511937703662379,-0.002674022987228356,0.005615026437355062,0.007255389953904015,DIST_11200
asthma_prev_d1,0.2636685051127133,0.3368478347935978,0.40835559684205947,0.41135936976446785,DIST_11200
asthma_prev_d2,0.336130032618986,0.40826405314318986,0.4113807280906885,0.3261038162299813,DIST_11200
asthma_prev_d3,0.40670193776329816,0.4118487714050544,0.3260432660901232,0.2719993956065826,DIST_11200
pm25_avg_d0,0.166397849435696,0.1328850516658304,0.1636824927861516,0.17934315998858505,DIST_11215
pm25_max_d0,0.16405563939943982,0.11983744389975703,0.1671061570650346,0.17844766307226748,DIST_11215
pm25_streak_d0,0.057761056915233616,0.03515469077502245,0.07681468795960944,0.0735013280256004,DIST_11215
pm25_ma_72h,0.181793524400719,0.18792982443345818,0.2008937233360306,0.19865891633618388,DIST_11215
pm10_avg_d0,0.19248522423611353,0.1410645124084054,0.17854689900989693,0.18332351987875903,DIST_11215
pm10_streak_d0,0.04207700756871199,0.020833776839803014,0.06225244547143892,0.08476441549338065,DIST_11215
pm10_ma_72h,0.21063427205859753,0.20829246418615913,0.22172715217622885,0.21340738866918685,DIST_11215
temp_avg_d0,-0.23498016413216125,-0.23979031476809412,-0.2346491330438449,-0.23385352756346559,DIST_11215
temp_diff_d0,-0.001989779881871225,-0.028289816246855948,-0.014508626368251638,-0.026197155309759967,DIST_11215
temp_min_d0,-0.23869646841607858,-0.23973859787828744,-0.236152513519934,-0.23399403354766019,DIST_11215
is_holiday,-0.4656300745491958,-0.13968511263989472,0.2673248580359845,0.05764909256973654,DIST_11215
std_month,-0.024254581823479376,-0.03391289201093208,-0.024709868312681064,-0.022978886849286707,DIST_11215
asthma_prev_d1,0.25087340850920004,0.35072187744471656,0.41807315258218986,0.41800288210349307,DIST_11215
asthma_prev_d2,0.3499571978245979,0.4182330566342989,0.41800892923877914,0.3383901704169033,DIST_11215
asthma_prev_d3,0.41666775011204377,0.41881289039853664,0.3383609676973074,0.26286591613169213,DIST_11215
pm25_avg_d0,0.1459538129685227,0.11465401058967548,0.1541992942485268,0.16486166885893777,DIST_11230
pm25_max_d0,0.15830566095046675,0.11714274501473858,0.16566871758810184,0.16999629788995377,DIST_11230
pm25_streak_d0,0.050379217107412444,0.02427751891198151,0.0837159428925518,0.0578661093222231,DIST_11230
pm25_ma_72h,0.1623667351874504,0.17074314566212156,0.18854384124415496,0.1853457174720658,DIST_11230
pm10_avg_d0,0.19639077429056578,0.1459166504141101,0.19134455895905028,0.19076507907976914,DIST_11230
pm10_streak_d0,0.057512266580048196,0.04061679870219732,0.07728833313098409,0.09509113898282234,DIST_11230
pm10_ma_72h,0.21733896617595896,0.21644255880909627,0.23304302951141798,0.22352266061897103,DIST_11230
temp_avg_d0,-0.28055511820132495,-0.28429078827751814,-0.27805832799318575,-0.2781890708654517,DIST_11230
temp_diff_d0,0.030669851031794385,0.00666001632993567,0.007967176900339473,-0.004572426039146449,DIST_11230
temp_min_d0,-0.2851601366885761,-0.2860945356751179,-0.2799574538450563,-0.27794063805501945,DIST_11230
is_holiday,-0.5054449094896181,-0.11233513166094036,0.31764550938498415,0.11434632215236583,DIST_11230
std_month,-0.02237270556082801,-0.03259139594274511,-0.024225470479573553,-0.01991845374994822,DIST_11230
asthma_prev_d1,0.2934869253811369,0.3412669941927911,0.39009878768725015,0.3894779046487673,DIST_11230
asthma_prev_d2,0.34057488511727424,0.3901602962055032,0.389468155768497,0.3232009126312468,DIST_11230
asthma_prev_d3,0.38847777118944615,0.3902302149093105,0.3231501234142411,0.2934781950531896,DIST_11230
pm25_avg_d0,0.15216873495345654,0.12085127156617115,0.16071559382176712,0.17959990446854968,DIST_11260
pm25_max_d0,0.17911263459301524,0.1366220889305585,0.17705613000819698,0.20052974200676424,DIST_11260
pm25_streak_d0,0.08138908223942795,0.061742514444783014,0.08404015133411455,0.11104414005313863,DIST_11260
pm25_ma_72h,0.16935219256147274,0.18193073635734658,0.19943088905885115,0.19581229586913657,DIST_11260
pm10_avg_d0,0.1764056336894148,0.12904631317062787,0.17413957327977905,0.17636802278009422,DIST_11260
pm10_streak_d0,0.05148701820819097,0.05148082792240742,0.07439175186521557,0.09758440458087457,DIST_11260
pm10_ma_72h,0.19561808676931763,0.19713311429073524,0.21208373490052493,0.19938618191997057,DIST_11260
temp_avg_d0,-0.24987942223135184,-0.25205665634525687,-0.2439275350216707,-0.24240748212488097,DIST_11260
temp_diff_d0,0.04407757650662838,0.02080462567644828,0.02526730180182143,0.025426751457203,DIST_11260
temp_min_d0,-0.25624852289548933,-0.25522043105818176,-0.2478009856328477,-0.24560546673410527,DIST_11260
is_holiday,-0.5453466095723716,-0.14796930079073808,0.3086174798822181,0.09605102154060519,DIST_11260
std_month,-0.02795822577723865,-0.039427231020177936,-0.02959031122949966,-0.02659263973702375,DIST_11260
asthma_prev_d1,0.24471856102709963,0.2753839266709667,0.34543781953696656,0.3446531046624205,DIST_11260
asthma_prev_d2,0.2745711924204848,0.34562059045637356,0.3447201943913033,0.25991820137961563,DIST_11260
asthma_prev_d3,0.34395155219668044,0.34561970011572346,0.25999565142064096,0.24953458398572279,DIST_11260
pm25_avg_d0,0.14501007736555566,0.11213645212107543,0.14489929463212448,0.17023175629159054,DIST_11290
pm25_max_d0,0.153780615792762,0.10634782629434181,0.16191630786995104,0.17278321460904628,DIST_11290
pm25_streak_d0,0.05951139009571765,0.008792350285391121,0.06647371113124995,0.07268071235652121,DIST_11290
pm25_ma_72h,0.15882761667510678,0.17016148303604064,0.18823023910689785,0.18511585581335474,DIST_11290
pm10_avg_d0,0.17099942938420346,0.11158314034688246,0.15307983813140028,0.16285983931667444,DIST_11290
pm10_streak_d0,0.030512902465709958,0.0231457151824078,0.0580180147636738,0.09773643689603173,DIST_11290
pm10_ma_72h,0.17880564554699388,0.17650869564738392,0.19274090025313542,0.1836570419674132,DIST_11290
temp_avg_d0,-0.2135896676742191,-0.21594477649374977,-0.20880015406389765,-0.209098934627916,DIST_11290
temp_diff_d0,0.040598883920777616,0.01757757720971964,0.02325346792828658,0.017674377982297363,DIST_11290
temp_min_d0,-0.2163845334986011,-0.21431602843801392,-0.208372014804616,-0.20741499893533297,DIST_11290
is_holiday,-0.5252038160378396,-0.14387767704085674,0.3098834261738166,0.09848344054852128,DIST_11290
std_month,-0.046930139789978474,-0.0568757866378115,-0.048255964174520216,-0.04497103625900553,DIST_11290
asthma_prev_d1,0.2515363236825421,0.2903708956331917,0.3780890045030892,0.378257165777955,DIST_11290
asthma_prev_d2,0.2893961741212422,0.3787155715250812,0.3785470617589108,0.27897292669065776,DIST_11290
asthma_prev_d3,0.376610791937336,0.3801375229912929,0.279492850249835,0.2611145109429411,DIST_11290
pm25_avg_d0,0.12766297271127708,0.10260018097092652,0.1340066254771931,0.15522921467181064,DIST_11305
pm25_max_d0,0.13588523645610387,0.10043103975071045,0.1399275947072241,0.15400756791734077,DIST_11305
pm25_streak_d0,0.04084375773789214,0.00880134052547873,0.06337739310162038,0.05907549126519517,DIST_11305
pm25_ma_72h,0.14365901164997658,0.1554485102832978,0.16869665576570986,0.1675016351775982,DIST_11305
pm10_avg_d0,0.1341654397583676,0.09785552403104887,0.133093310881084,0.1405900590012179,DIST_11305
pm10_streak_d0,0.019677746086210365,0.012674071148128177,0.04915714145178967,0.05896739641979076,DIST_11305
pm10_ma_72h,0.15081144514046002,0.15499550405626894,0.16607194165572162,0.15532471036914763,DIST_11305
temp_avg_d0,-0.29101373560205285,-0.2952288095195823,-0.28965819241271645,-0.2900998913629867,DIST_11305
temp_diff_d0,0.02173576934993984,-0.009618351580462871,-0.009289422149695185,-0.01173839938071804,DIST_11305
temp_min_d0,-0.2953245293614887,-0.29592347539721103,-0.29027655710953454,-0.2899163060643346,DIST_11305
is_holiday,-0.5001763327413014,-0.1295910757115539,0.29047454807744183,0.1010612322946976,DIST_11305
std_month,-0.08790260664440869,-0.09652252154402613,-0.08566607195416065,-0.0812067997454337,DIST_11305
asthma_prev_d1,0.3505615111142689,0.38405569808950096,0.4387256235175012,0.439454883282144,DIST_11305
asthma_prev_d2,0.38329052567816957,0.4387490343194321,0.439492190679375,0.3759371199275052,DIST_11305
asthma_prev_d3,0.4367814305102171,0.4404363275018523,0.3759664513801026,0.350555652281042,DIST_11305
pm25_avg_d0,0.16015522928460357,0.12544392484577158,0.16046491607126923,0.1795481651343347,DIST_11320
pm25_max_d0,0.16272698270107006,0.12663077998157113,0.16889211515887761,0.18110368284074313,DIST_11320
pm25_streak_d0,0.0636614811501391,0.014315357293761526,0.06316827413950445,0.060473229905110004,DIST_11320
pm25_ma_72h,0.17616621781812397,0.18529072122334356,0.20389888688442842,0.19974025548483001,DIST_11320
