날짜,시군구지역코드,발생건수(건)
2023-10-01,11110,6
2023-10-01,11140,9
2023-10-01,11170,8
2023-10-01,11200,15
2023-10-01,11215,6
2023-10-01,11230,64
2023-10-01,11260,21
2023-10-01,11290,9
2023-10-01,11305,11
2023-10-01,11320,6
2023-10-01,11350,37
2023-10-01,11380,21
2023-10-01,11410,10
2023-10-01,11440,8
2023-10-01,11470,17
2023-10-01,11500,32
2023-10-01,11530,17
2023-10-01,11545,8
2023-10-01,11560,16
2023-10-01,11590,13
2023-10-01,11620,9
2023-10-01,11650,26
2023-10-01,11680,15
2023-10-01,11710,23
2023-10-01,11740,22
2023-10-02,11110,22
2023-10-02,11140,23
2023-10-02,11170,46
2023-10-02,11200,74
2023-10-02,11215,110
2023-10-02,11230,139
2023-10-02,11260,87
2023-10-02,11290,82
2023-10-02,11305,87
2023-10-02,11320,183
2023-10-02,11350,118
2023-10-02,11380,145
2023-10-02,11410,102
2023-10-02,11440,49
2023-10-02,11470,86
2023-10-02,11500,127
2023-10-02,11530,89
2023-10-02,11545,53
2023-10-02,11560,80
2023-10-02,11590,75
2023-10-02,11620,75
2023-10-02,11650,111
2023-10-02,11680,155
2023-10-02,11710,127
2023-10-02,11740,122
2023-10-03,11110,8
2023-10-03,11140,5
2023-10-03,11170,4
2023-10-03,11200,23
2023-10-03,11215,12
2023-10-03,11230,18
2023-10-03,11260,20
2023-10-03,11290,12
2023-10-03,11305,15
2023-10-03,11320,15
2023-10-03,11350,24
2023-10-03,11380,68
2023-10-03,11410,22
2023-10-03,11440,6
2023-10-03,11470,24
2023-10-03,11500,35
2023-10-03,11530,23
2023-10-03,11545,7
2023-10-03,11560,21
2023-10-03,11590,30
2023-10-03,11620,10
2023-10-03,11650,22
2023-10-03,11680,21
2023-10-03,11710,31
2023-10-03,11740,46
2023-10-04,11110,70
2023-10-04,11140,101
2023-10-04,11170,100
2023-10-04,11200,112
2023-10-04,11215,228
2023-10-04,11230,188
2023-10-04,11260,291
2023-10-04,11290,161
2023-10-04,11305,158
2023-10-04,11320,196
2023-10-04,11350,221
2023-10-04,11380,291
2023-10-04,11410,208
2023-10-04,11440,156
2023-10-04,11470,170
2023-10-04,11500,248
2023-10-04,11530,189
2023-10-04,11545,81
2023-10-04,11560,162
2023-10-04,11590,209
2023-10-04,11620,214
2023-10-04,11650,190
2023-10-04,11680,258
2023-10-04,11710,255
2023-10-04,11740,215
2023-10-05,11110,39
2023-10-05,11140,63
2023-10-05,11170,74
2023-10-05,11200,117
2023-10-05,11215,160
2023-10-05,11230,139
2023-10-05,11260,223
2023-10-05,11290,142
2023-10-05,11305,125
2023-10-05,11320,171
2023-10-05,11350,182
2023-10-05,11380,224
2023-10-05,11410,160
2023-10-05,11440,114
2023-10-05,11470,167
2023-10-05,11500,203
2023-10-05,11530,178
2023-10-05,11545,68
2023-10-05,11560,154
2023-10-05,11590,182
2023-10-05,11620,156
2023-10-05,11650,174
2023-10-05,11680,205
2023-10-05,11710,226
2023-10-05,11740,211
2023-10-06,11110,56
2023-10-06,11140,80
2023-10-06,11170,60
2023-10-06,11200,116
2023-10-06,11215,191
2023-10-06,11230,131
2023-10-06,11260,207
2023-10-06,11290,173
2023-10-06,11305,145
2023-10-06,11320,199
2023-10-06,11350,201
2023-10-06,11380,263
2023-10-06,11410,164
2023-10-06,11440,130
2023-10-06,11470,148
2023-10-06,11500,196
2023-10-06,11530,171
2023-10-06,11545,92
2023-10-06,11560,125
2023-10-06,11590,194
2023-10-06,11620,163
2023-10-06,11650,174
2023-10-06,11680,214
2023-10-06,11710,241
2023-10-06,11740,200
2023-10-07,11110,19
2023-10-07,11140,44
2023-10-07,11170,48
2023-10-07,11200,82
2023-10-07,11215,126
2023-10-07,11230,103
2023-10-07,11260,166
2023-10-07,11290,93
2023-10-07,11305,75
2023-10-07,11320,109
2023-10-07,11350,119
2023-10-07,11380,197
2023-10-07,11410,129
2023-10-07,11440,77
2023-10-07,11470,108
2023-10-07,11500,143
2023-10-07,11530,83
2023-10-07,11545,44
2023-10-07,11560,100
2023-10-07,11590,145
2023-10-07,11620,105
2023-10-07,11650,129
2023-10-07,11680,146
2023-10-07,11710,177
2023-10-07,11740,146
2023-10-08,11110,6
2023-10-08,11140,3
2023-10-08,11170,3
2023-10-08,11200,8
2023-10-08,11215,8
2023-10-08,11230,33
2023-10-08,11260,16
2023-10-08,11290,9
2023-10-08,11305,3
2023-10-08,11320,4
2023-10-08,11350,9
2023-10-08,11380,30
2023-10-08,11410,9
2023-10-08,11440,10
2023-10-08,11470,8
2023-10-08,11500,13
2023-10-08,11530,1
2023-10-08,11545,9
2023-10-08,11560,6
2023-10-08,11590,7
2023-10-08,11620,3
2023-10-08,11650,17
2023-10-08,11680,30
2023-10-08,11710,27
2023-10-08,11740,24
2023-10-09,11110,1
2023-10-09,11140,1
2023-10-09,11170,7
2023-10-09,11200,22
2023-10-09,11215,9
2023-10-09,11230,8
2023-10-09,11260,8
2023-10-09,11290,9
2023-10-09,11305,12
2023-10-09,11320,11
2023-10-09,11350,28
2023-10-09,11380,49
2023-10-09,11410,17
2023-10-09,11440,12
2023-10-09,11470,27
2023-10-09,11500,34
2023-10-09,11530,12
2023-10-09,11545,7
2023-10-09,11560,10
2023-10-09,11590,13
2023-10-09,11620,10
2023-10-09,11650,27
2023-10-09,11680,47
2023-10-09,11710,21
2023-10-09,11740,29
2023-10-10,11110,60
2023-10-10,11140,88
2023-10-10,11170,78
2023-10-10,11200,160
2023-10-10,11215,223
2023-10-10,11230,208
2023-10-10,11260,255
2023-10-10,11290,174
2023-10-10,11305,134
2023-10-10,11320,217
2023-10-10,11350,238
2023-10-10,11380,285
2023-10-10,11410,204
2023-10-10,11440,134
2023-10-10,11470,188
2023-10-10,11500,239
2023-10-10,11530,182
2023-10-10,11545,80
2023-10-10,11560,161
2023-10-10,11590,225
2023-10-10,11620,185
2023-10-10,11650,218
2023-10-10,11680,251
2023-10-10,11710,253
2023-10-10,11740,215
2023-10-11,11110,44
2023-10-11,11140,60
2023-10-11,11170,62
2023-10-11,11200,99
2023-10-11,11215,137
2023-10-11,11230,147
2023-10-11,11260,195
2023-10-11,11290,129
2023-10-11,11305,134
2023-10-11,11320,162
2023-10-11,11350,190
2023-10-11,11380,232
2023-10-11,11410,142
2023-10-11,11440,123
2023-10-11,11470,141
2023-10-11,11500,184
2023-10-11,11530,143
2023-10-11,11545,62
2023-10-11,11560,121
2023-10-11,11590,190
2023-10-11,11620,164
2023-10-11,11650,153
2023-10-11,11680,162
2023-10-11,11710,193
2023-10-11,11740,147
2023-10-12,11110,48
2023-10-12,11140,43
2023-10-12,11170,74
2023-10-12,11200,88
2023-10-12,11215,166
2023-10-12,11230,125
2023-10-12,11260,185
2023-10-12,11290,104
2023-10-12,11305,123
2023-10-12,11320,151
2023-10-12,11350,153
2023-10-12,11380,226
2023-10-12,11410,128
2023-10-12,11440,83
2023-10-12,11470,130
2023-10-12,11500,174
2023-10-12,11530,143
2023-10-12,11545,64
2023-10-12,11560,113
2023-10-12,11590,156
2023-10-12,11620,158
2023-10-12,11650,129
2023-10-12,11680,168
2023-10-12,11710,199
2023-10-12,11740,148
2023-10-13,11110,36
2023-10-13,11140,60
2023-10-13,11170,63
2023-10-13,11200,106
2023-10-13,11215,181
2023-10-13,11230,130
2023-10-13,11260,206
2023-10-13,11290,140
2023-10-13,11305,115
2023-10-13,11320,168
2023-10-13,11350,170
2023-10-13,11380,236
2023-10-13,11410,138
2023-10-13,11440,119
2023-10-13,11470,127
2023-10-13,11500,162
2023-10-13,11530,141
2023-10-13,11545,67
2023-10-13,11560,122
2023-10-13,11590,173
2023-10-13,11620,197
2023-10-13,11650,164
2023-10-13,11680,189
2023-10-13,11710,224
2023-10-13,11740,180
2023-10-14,11110,35
2023-10-14,11140,38
2023-10-14,11170,50
2023-10-14,11200,73
2023-10-14,11215,106
2023-10-14,11230,86
2023-10-14,11260,134
2023-10-14,11290,64
2023-10-14,11305,74
2023-10-14,11320,118
2023-10-14,11350,123
2023-10-14,11380,158
2023-10-14,11410,104
2023-10-14,11440,55
2023-10-14,11470,91
2023-10-14,11500,114
2023-10-14,11530,80
2023-10-14,11545,38
2023-10-14,11560,86
2023-10-14,11590,125
2023-10-14,11620,93
2023-10-14,11650,132
2023-10-14,11680,135
2023-10-14,11710,148
2023-10-14,11740,122
2023-10-15,11110,2
2023-10-15,11140,7
2023-10-15,11170,4
2023-10-15,11200,9
2023-10-15,11215,7
2023-10-15,11230,14
2023-10-15,11260,23
2023-10-15,11290,11
2023-10-15,11305,2
2023-10-15,11320,2
2023-10-15,11350,17
2023-10-15,11380,27
2023-10-15,11410,8
2023-10-15,11440,6
2023-10-15,11470,9
2023-10-15,11500,20
2023-10-15,11530,3
2023-10-15,11545,3
2023-10-15,11560,3
2023-10-15,11590,4
2023-10-15,11620,8
2023-10-15,11650,16
2023-10-15,11680,20
2023-10-15,11710,10
2023-10-15,11740,22
2023-10-16,11110,60
2023-10-16,11140,89
2023-10-16,11170,94
2023-10-16,11200,127
2023-10-16,11215,240
2023-10-16,11230,186
2023-10-16,11260,258
2023-10-16,11290,173
2023-10-16,11305,178
2023-10-16,11320,218
2023-10-16,11350,257
2023-10-16,11380,306
2023-10-16,11410,178
2023-10-16,11440,150
2023-10-16,11470,191
2023-10-16,11500,238
2023-10-16,11530,191
2023-10-16,11545,112
2023-10-16,11560,156
2023-10-16,11590,223
2023-10-16,11620,219
2023-10-16,11650,210
2023-10-16,11680,249
2023-10-16,11710,275
2023-10-16,11740,232
2023-10-17,11110,35
2023-10-17,11140,68
2023-10-17,11170,65
2023-10-17,11200,100
2023-10-17,11215,168
2023-10-17,11230,138
2023-10-17,11260,193
2023-10-17,11290,128
2023-10-17,11305,114
2023-10-17,11320,172
2023-10-17,11350,159
2023-10-17,11380,210
2023-10-17,11410,120
2023-10-17,11440,113
2023-10-17,11470,137
2023-10-17,11500,211
2023-10-17,11530,149
2023-10-17,11545,68
2023-10-17,11560,126
2023-10-17,11590,174
2023-10-17,11620,151
2023-10-17,11650,154
2023-10-17,11680,186
2023-10-17,11710,187
2023-10-17,11740,191
2023-10-18,11110,54
2023-10-18,11140,69
2023-10-18,11170,63
2023-10-18,11200,88
2023-10-18,11215,159
2023-10-18,11230,120
2023-10-18,11260,211
2023-10-18,11290,130
2023-10-18,11305,98
2023-10-18,11320,150
2023-10-18,11350,171
2023-10-18,11380,239
2023-10-18,11410,134
