날짜,시군구지역코드,발생건수(건)
2023-05-01,11110,41
2023-05-01,11140,55
2023-05-01,11170,62
2023-05-01,11200,128
2023-05-01,11215,214
2023-05-01,11230,136
2023-05-01,11260,180
2023-05-01,11290,161
2023-05-01,11305,158
2023-05-01,11320,193
2023-05-01,11350,207
2023-05-01,11380,326
2023-05-01,11410,170
2023-05-01,11440,132
2023-05-01,11470,165
2023-05-01,11500,209
2023-05-01,11530,184
2023-05-01,11545,65
2023-05-01,11560,141
2023-05-01,11590,247
2023-05-01,11620,167
2023-05-01,11650,199
2023-05-01,11680,212
2023-05-01,11710,273
2023-05-01,11740,243
2023-05-02,11110,58
2023-05-02,11140,79
2023-05-02,11170,77
2023-05-02,11200,140
2023-05-02,11215,200
2023-05-02,11230,174
2023-05-02,11260,245
2023-05-02,11290,215
2023-05-02,11305,196
2023-05-02,11320,189
2023-05-02,11350,201
2023-05-02,11380,333
2023-05-02,11410,207
2023-05-02,11440,146
2023-05-02,11470,243
2023-05-02,11500,251
2023-05-02,11530,208
2023-05-02,11545,69
2023-05-02,11560,196
2023-05-02,11590,266
2023-05-02,11620,216
2023-05-02,11650,233
2023-05-02,11680,273
2023-05-02,11710,319
2023-05-02,11740,227
2023-05-03,11110,58
2023-05-03,11140,79
2023-05-03,11170,89
2023-05-03,11200,111
2023-05-03,11215,193
2023-05-03,11230,156
2023-05-03,11260,210
2023-05-03,11290,162
2023-05-03,11305,167
2023-05-03,11320,197
2023-05-03,11350,244
2023-05-03,11380,301
2023-05-03,11410,199
2023-05-03,11440,148
2023-05-03,11470,166
2023-05-03,11500,219
2023-05-03,11530,200
2023-05-03,11545,76
2023-05-03,11560,142
2023-05-03,11590,206
2023-05-03,11620,203
2023-05-03,11650,167
2023-05-03,11680,241
2023-05-03,11710,254
2023-05-03,11740,222
2023-05-04,11110,58
2023-05-04,11140,80
2023-05-04,11170,83
2023-05-04,11200,173
2023-05-04,11215,202
2023-05-04,11230,170
2023-05-04,11260,240
2023-05-04,11290,166
2023-05-04,11305,147
2023-05-04,11320,202
2023-05-04,11350,226
2023-05-04,11380,371
2023-05-04,11410,163
2023-05-04,11440,149
2023-05-04,11470,206
2023-05-04,11500,232
2023-05-04,11530,204
2023-05-04,11545,93
2023-05-04,11560,166
2023-05-04,11590,236
2023-05-04,11620,192
2023-05-04,11650,258
2023-05-04,11680,298
2023-05-04,11710,264
2023-05-04,11740,226
2023-05-05,11110,4
2023-05-05,11140,1
2023-05-05,11170,7
2023-05-05,11200,10
2023-05-05,11215,5
2023-05-05,11230,8
2023-05-05,11260,9
2023-05-05,11290,16
2023-05-05,11305,13
2023-05-05,11320,14
2023-05-05,11350,32
2023-05-05,11380,29
2023-05-05,11410,5
2023-05-05,11440,11
2023-05-05,11470,23
2023-05-05,11500,25
2023-05-05,11530,11
2023-05-05,11545,5
2023-05-05,11560,4
2023-05-05,11590,23
2023-05-05,11620,14
2023-05-05,11650,14
2023-05-05,11680,15
2023-05-05,11710,15
2023-05-05,11740,39
2023-05-06,11110,32
2023-05-06,11140,35
2023-05-06,11170,51
2023-05-06,11200,105
2023-05-06,11215,142
2023-05-06,11230,105
2023-05-06,11260,137
2023-05-06,11290,123
2023-05-06,11305,98
2023-05-06,11320,123
2023-05-06,11350,152
2023-05-06,11380,209
2023-05-06,11410,151
2023-05-06,11440,79
2023-05-06,11470,111
2023-05-06,11500,136
2023-05-06,11530,98
2023-05-06,11545,60
2023-05-06,11560,89
2023-05-06,11590,144
2023-05-06,11620,119
2023-05-06,11650,162
2023-05-06,11680,162
2023-05-06,11710,204
2023-05-06,11740,153
2023-05-07,11110,7
2023-05-07,11140,4
2023-05-07,11170,10
2023-05-07,11200,9
2023-05-07,11215,2
2023-05-07,11230,46
2023-05-07,11260,20
2023-05-07,11290,6
2023-05-07,11305,4
2023-05-07,11320,3
2023-05-07,11350,13
2023-05-07,11380,22
2023-05-07,11410,7
2023-05-07,11440,3
2023-05-07,11470,10
2023-05-07,11500,20
2023-05-07,11530,10
2023-05-07,11545,7
2023-05-07,11560,5
2023-05-07,11590,8
2023-05-07,11620,5
2023-05-07,11650,16
2023-05-07,11680,24
2023-05-07,11710,22
2023-05-07,11740,27
2023-05-08,11110,84
2023-05-08,11140,127
2023-05-08,11170,102
2023-05-08,11200,182
2023-05-08,11215,278
2023-05-08,11230,215
2023-05-08,11260,304
2023-05-08,11290,231
2023-05-08,11305,216
2023-05-08,11320,240
2023-05-08,11350,292
2023-05-08,11380,420
2023-05-08,11410,268
2023-05-08,11440,173
2023-05-08,11470,253
2023-05-08,11500,262
2023-05-08,11530,237
2023-05-08,11545,103
2023-05-08,11560,214
2023-05-08,11590,297
2023-05-08,11620,238
2023-05-08,11650,278
2023-05-08,11680,343
2023-05-08,11710,384
2023-05-08,11740,314
2023-05-09,11110,49
2023-05-09,11140,71
2023-05-09,11170,85
2023-05-09,11200,126
2023-05-09,11215,175
2023-05-09,11230,170
2023-05-09,11260,244
2023-05-09,11290,156
2023-05-09,11305,165
2023-05-09,11320,176
2023-05-09,11350,227
2023-05-09,11380,309
2023-05-09,11410,182
2023-05-09,11440,134
2023-05-09,11470,188
2023-05-09,11500,220
2023-05-09,11530,161
2023-05-09,11545,75
2023-05-09,11560,138
2023-05-09,11590,220
2023-05-09,11620,194
2023-05-09,11650,188
2023-05-09,11680,224
2023-05-09,11710,288
2023-05-09,11740,228
2023-05-10,11110,46
2023-05-10,11140,71
2023-05-10,11170,77
2023-05-10,11200,104
2023-05-10,11215,150
2023-05-10,11230,152
2023-05-10,11260,212
2023-05-10,11290,139
2023-05-10,11305,133
2023-05-10,11320,173
2023-05-10,11350,204
2023-05-10,11380,235
2023-05-10,11410,165
2023-05-10,11440,118
2023-05-10,11470,153
2023-05-10,11500,206
2023-05-10,11530,154
2023-05-10,11545,81
2023-05-10,11560,133
2023-05-10,11590,200
2023-05-10,11620,135
2023-05-10,11650,181
2023-05-10,11680,230
2023-05-10,11710,260
