,cold_cnt_d0,cold_cnt_d_plus_1,cold_cnt_d_plus_2,cold_cnt_d_plus_3,dist_name
pm25_avg_d0,0.11745642613590786,0.08375010022118669,0.1116989839971405,0.13309106916984811,SEOUL_TOTAL
pm25_max_d0,0.123139384614946,0.0775585224058442,0.11978970021188683,0.13947356675063674,SEOUL_TOTAL
pm25_streak_d0,0.05197280623659775,0.017722254408035907,0.059795166985719725,0.07077291937048312,SEOUL_TOTAL
pm25_ma_72h,0.12244077144403963,0.1294283690515302,0.14456780457434007,0.14398245333669699,SEOUL_TOTAL
pm10_avg_d0,0.14672011175154906,0.099720567823591,0.13110355620933745,0.14311831125147234,SEOUL_TOTAL
pm10_streak_d0,0.03942876617793032,0.023261812963053494,0.05050016410312696,0.0749642766170954,SEOUL_TOTAL
pm10_ma_72h,0.15382533696434753,0.15336601813491546,0.16626619150883737,0.16000265848141226,SEOUL_TOTAL
temp_avg_d0,-0.23846156711524624,-0.24111997920277806,-0.2366097759201238,-0.2355530749753447,SEOUL_TOTAL
temp_diff_d0,0.07339626430008642,0.05602371749573297,0.060470495875085406,0.05560835531803564,SEOUL_TOTAL
temp_min_d0,-0.24942814842829023,-0.249140905291875,-0.24511253635225058,-0.24307142460740994,SEOUL_TOTAL
is_holiday,-0.39523391928647117,-0.11527326158659909,0.2443885616995202,0.045433787762221005,SEOUL_TOTAL
std_month,0.004663152017168447,-0.004052246083496247,0.006684839784695596,0.011438028249565942,SEOUL_TOTAL
cold_prev_d1,0.4166670610133603,0.4849612377037896,0.5495481469889563,0.5484943122955148,SEOUL_TOTAL
cold_prev_d2,0.48459473109706713,0.5496506998610203,0.5485421625046757,0.4747679665614618,SEOUL_TOTAL
cold_prev_d3,0.5487460750323866,0.5488455508122049,0.47479612342969624,0.4180150997091123,SEOUL_TOTAL
pm25_avg_d0,0.11753840694430612,0.07085074269616469,0.10992507445467228,0.1343969032856799,DIST_11110
pm25_max_d0,0.11887290847795415,0.05239283325911464,0.1045103810469069,0.13008861584348996,DIST_11110
pm25_streak_d0,0.036479823464790465,0.018244090239404338,0.07814031530490433,0.07355572061337246,DIST_11110
pm25_ma_72h,0.11722220198285008,0.1250639878935652,0.14460385545387927,0.143485224875124,DIST_11110
pm10_avg_d0,0.12344475592712416,0.06991713484377986,0.10589181898622192,0.11819367662064335,DIST_11110
pm10_streak_d0,0.01420943529642005,0.014223528428577062,0.039438042554889974,0.04712821240288607,DIST_11110
pm10_ma_72h,0.12327799955488808,0.12256339335784469,0.13662230857022659,0.12820764045493258,DIST_11110
temp_avg_d0,-0.2712617055570635,-0.2734537271287108,-0.2682102687814929,-0.26699069902867895,DIST_11110
temp_diff_d0,0.05846370321549114,0.034548765657301424,0.038665100709634005,0.03553121050078258,DIST_11110
temp_min_d0,-0.2768068871942688,-0.2756479222385854,-0.2703336398140665,-0.2683939940351691,DIST_11110
is_holiday,-0.5067853341523435,-0.13493979034994313,0.3067004328500213,0.07360281902866955,DIST_11110
std_month,-0.008057505944298833,-0.018610427769511027,-0.004604403557746579,0.002175278737148725,DIST_11110
cold_prev_d1,0.261178876002098,0.300044155336871,0.3955121663492181,0.39141913109679355,DIST_11110
cold_prev_d2,0.29951482695565107,0.3955800277222577,0.3914294507133728,0.28652015144312526,DIST_11110
cold_prev_d3,0.3944010146540791,0.39171863551536346,0.2864803157007488,0.2620422142787812,DIST_11110
